userID,artistID,tagID
2,52,13
2,52,15
2,52,18
2,52,21
2,52,41
2,73,13
2,73,14
2,73,15
2,73,18
2,73,20
2,73,21
2,73,22
2,73,26
3,102,14
3,102,15
3,102,18
3,102,33
3,102,44
3,102,45
3,102,46
3,102,69
3,122,15
3,122,33
3,122,46
3,130,14
3,130,33
3,130,44
3,130,66
3,134,14
3,134,33
3,134,34
3,134,70
4,53,18
4,64,13
4,64,18
4,70,18
4,152,75
4,153,74
4,156,79
4,165,18
4,170,78
4,171,73
4,173,78
4,174,88
4,175,14
4,180,24
4,180,72
4,184,24
4,185,73
4,192,24
5,53,95
5,154,94
5,182,95
5,182,99
5,190,95
5,195,95
5,197,95
5,202,95
5,222,94
5,232,94
5,233,94
5,236,99
7,288,127
7,288,128
8,291,24
8,291,130
8,345,30
8,345,130
8,345,134
8,345,135
8,345,136
8,348,30
8,348,73
8,357,127
9,8,73
9,8,138
9,8,139
9,8,141
9,371,137
9,374,137
9,375,140
9,379,137
9,379,140
9,384,144
9,390,139
9,392,137
9,394,137
9,396,139
9,397,137
9,397,139
9,397,141
9,398,137
9,402,137
9,403,73
9,414,137
9,415,28
9,415,30
10,196,81
10,196,165
10,199,81
10,199,165
10,430,81
10,430,165
10,431,79
10,440,165
11,89,24
11,234,170
11,456,24
11,456,167
11,468,167
11,482,167
12,189,78
12,189,79
12,191,73
12,191,78
12,191,79
12,191,109
12,230,169
12,230,181
12,230,182
12,300,24
12,300,109
12,333,24
12,333,73
12,333,109
12,344,24
12,344,134
12,344,185
12,344,193
12,405,78
12,405,79
12,486,78
12,486,79
12,486,81
12,486,176
12,488,78
12,488,79
12,489,79
12,489,177
12,489,198
12,490,72
12,490,78
12,490,79
12,490,170
12,491,102
12,491,103
12,492,176
12,492,178
12,492,180
12,492,186
12,494,79
12,494,176
12,494,178
12,495,78
12,495,79
12,495,183
12,496,72
12,496,78
12,496,79
12,497,78
12,497,79
12,497,177
12,499,78
12,499,79
12,503,1
12,503,5
12,504,73
12,507,176
12,507,178
12,507,186
12,508,78
12,508,79
12,509,6
12,509,18
12,509,61
12,509,189
12,510,73
12,510,78
12,510,79
12,510,177
12,510,198
12,511,24
12,511,73
12,511,192
12,512,1
12,512,78
12,512,79
12,512,177
12,513,78
12,513,79
12,517,1
12,517,73
12,517,79
12,517,177
12,520,18
12,520,39
12,520,187
12,521,73
12,521,79
12,521,182
12,521,188
12,521,196
12,522,7
12,522,30
12,522,89
12,522,179
13,55,18
13,55,24
13,55,39
13,55,124
13,55,130
13,55,200
13,55,201
13,55,202
13,55,203
13,55,204
13,55,205
13,55,208
13,67,18
13,67,24
13,67,39
13,67,124
13,67,130
13,67,199
13,67,200
13,67,201
13,67,202
13,67,203
13,67,204
13,67,205
13,67,209
13,89,18
13,89,24
13,89,39
13,89,49
13,89,124
13,89,130
13,89,134
13,89,167
13,89,199
13,89,200
13,89,201
13,89,202
13,89,203
13,89,204
13,89,205
13,89,206
13,89,207
13,89,208
13,89,209
13,89,213
13,89,214
13,89,215
13,89,228
13,89,229
13,89,230
13,89,231
13,89,232
13,89,233
13,89,234
13,89,235
13,298,24
13,298,130
13,298,199
13,298,206
13,298,210
14,552,16
14,552,25
14,552,242
14,552,245
14,552,248
14,552,249
14,552,263
14,552,266
14,552,267
14,552,268
14,552,272
14,552,274
14,557,75
14,557,245
14,557,248
14,557,249
14,557,263
14,557,267
