userID,artistID,tagID,cluster
3,122,15,21.0
3,122,33,3714.0
3,122,46,602.0
3,134,14,721.0
3,134,33,3714.0
3,134,34,1578.0
3,134,70,6565.0
4,53,18,589.0
4,64,13,732.0
4,64,18,589.0
4,70,18,589.0
4,153,74,1681.0
4,156,79,743.0
4,170,78,25.0
4,174,88,1762.0
4,175,14,721.0
4,184,24,3106.0
4,192,24,3106.0
5,53,95,3673.0
5,154,94,5851.0
5,182,95,3673.0
5,182,99,476.0
5,190,95,3673.0
5,197,95,3673.0
5,222,94,5851.0
5,232,94,5851.0
7,288,127,663.0
7,288,128,45.0
8,291,24,3106.0
8,291,130,1586.0
8,345,30,803.0
8,345,130,1586.0
8,345,134,351.0
8,348,30,803.0
8,348,73,193.0
9,8,73,193.0
9,8,138,6808.0
9,8,139,848.0
9,8,141,1036.0
9,371,137,5542.0
9,374,137,5542.0
9,375,140,6845.0
9,384,144,1682.0
9,390,139,848.0
9,396,139,848.0
9,397,137,5542.0
9,397,139,848.0
9,397,141,1036.0
9,398,137,5542.0
9,402,137,5542.0
9,403,73,193.0
9,414,137,5542.0
10,196,81,94.0
10,196,165,92.0
10,199,81,94.0
10,199,165,92.0
10,430,81,94.0
10,430,165,92.0
10,440,165,92.0
11,234,170,216.0
12,300,24,3106.0
12,300,109,544.0
12,333,24,3106.0
12,333,73,193.0
12,333,109,544.0
12,405,78,25.0
12,405,79,743.0
12,489,79,743.0
12,489,177,1559.0
12,489,198,580.0
12,492,176,761.0
12,492,178,879.0
12,492,180,39.0
12,492,186,292.0
12,494,79,743.0
12,494,176,761.0
12,494,178,879.0
12,496,72,128.0
12,496,78,25.0
12,496,79,743.0
12,497,78,25.0
12,497,79,743.0
12,497,177,1559.0
12,503,1,1559.0
12,503,5,124.0
12,504,73,193.0
12,507,176,761.0
12,507,178,879.0
12,507,186,292.0
12,508,78,25.0
12,508,79,743.0
12,511,24,3106.0
12,511,73,193.0
12,511,192,343.0
12,512,1,1559.0
12,512,78,25.0
12,512,79,743.0
12,512,177,1559.0
12,513,78,25.0
12,513,79,743.0
12,517,1,1559.0
12,517,73,193.0
12,517,79,743.0
12,517,177,1559.0
13,89,18,589.0
13,89,24,3106.0
13,89,39,26.0
13,89,49,1586.0
13,89,124,74.0
13,89,130,1586.0
13,89,134,351.0
13,89,167,1223.0
13,89,199,329.0
13,89,200,1042.0
13,89,201,386.0
13,89,202,329.0
13,89,203,5019.0
13,89,204,363.0
13,89,205,3019.0
13,89,206,610.0
13,89,207,736.0
13,89,208,6859.0
13,89,209,311.0
13,89,213,445.0
13,89,214,827.0
13,89,215,6780.0
13,89,228,763.0
13,89,229,1043.0
13,89,230,425.0
13,89,231,2524.0
13,89,232,3994.0
13,89,233,107.0
13,89,234,296.0
13,89,235,74.0
14,557,75,6590.0
14,557,245,6581.0
14,557,248,6965.0
14,557,249,6703.0
14,557,263,5574.0
14,557,267,860.0
14,563,247,41.0
14,563,252,211.0
14,563,254,138.0
16,346,81,94.0
16,346,296,549.0
16,636,24,3106.0
16,636,167,1223.0
16,636,293,4803.0
16,640,24,3106.0
16,640,73,193.0
16,640,130,1586.0
16,640,291,239.0
16,640,293,4803.0
16,640,294,6126.0
16,648,291,239.0
16,648,292,154.0
16,648,294,6126.0
16,648,307,401.0
16,648,310,326.0
16,648,312,239.0
16,650,79,743.0
16,650,231,2524.0
