userID,artistID,name,rec_value
2,1001,Pet Shop Boys,0.690672641116944
2,1013,Ultravox,0.507613540860409
2,1014,Erasure,0.48775887628404
2,238,Massive Attack,0.484688128175598
2,85,Spandau Ballet,0.465734268462917
2,54,Hooverphonic,0.460119983268209
2,58,Goldfrapp,0.459560097659093
2,59,New Order,0.455607515273795
2,81,Portishead,0.411608770711518
2,1801,Nightmares on Wax,0.372461570385978
3,128,strom noir,1.10915920801275
3,106,Pleq & Segue,1.06240529132335
3,2174,edIT,1.02274311546546
3,6907,Keaver & Brause,1.01374095136748
3,108,Magnitophono,0.999582894710664
3,102,Segue,0.981198679166677
3,130,Philippe Lamy,0.846086507903532
3,767,Gridlock,0.825227352904267
3,122,Manekinekod,0.720797770058969
3,780,Gimmik,0.605309530561665
4,1001,Pet Shop Boys,0.598147317268902
4,59,New Order,0.597083753875681
4,1072,Martin L. Gore,0.571147023312729
4,51,Duran Duran,0.560516993368097
4,1014,Erasure,0.540979489325365
4,1713,Dave Gahan,0.486403647355104
4,99,INXS,0.48438912989994
4,187,a-ha,0.480970686273517
4,1886,Gary Numan,0.459871602946595
4,1019,Yazoo,0.458548668589481
5,227,The Beatles,0.586327803241464
5,511,U2,0.560940193119803
5,65,Coldplay,0.533225199140181
5,154,Radiohead,0.493173519479843
5,190,Muse,0.412220717698686
5,615,Elliott Smith,0.403770320106509
5,173,Placebo,0.392354092562111
5,431,Wolf Parade,0.344186932125039
5,538,Maroon 5,0.314505920982607
5,229,The Killers,0.303985828128387
6,480,Guf,0.413802171093227
6,287,Monica,0.396492393068484
6,1935,Solange,0.353217821426835
6,2829,Flobots,0.337713396933179
6,2135,Chiddy Bang,0.318570736349432
6,255,Nach,0.314890202745057
6,2698,Public Enemy,0.30111718333932
6,279,Brandy,0.296424159386896
6,251,Whitney Houston,0.295478060041401
6,1623,Jeru the Damaja,0.293794168298174
7,300,Katy Perry,1.48765346357482
7,292,Christina Aguilera,1.36966411096011
7,55,Kylie Minogue,1.29509407234158
7,289,Britney Spears,1.20049278901461
7,67,Madonna,1.15438642678969
7,89,Lady Gaga,1.03354576520073
7,291,Kelly Clarkson,0.863436680768365
7,295,Beyoncé,0.8332068437719
7,318,Hilary Duff,0.774404980446915
7,333,Avril Lavigne,0.725818266554747
8,338,Queensberry,0.497570169041182
8,323,The Saturdays,0.49221046504059
8,1603,Billie Piper,0.48104153404898
8,347,Cassandra Steen,0.47655086966103
8,292,Christina Aguilera,0.472953724920416
8,333,Avril Lavigne,0.467714977245806
8,300,Katy Perry,0.460392033990891
8,906,Girls Aloud,0.449231663176914
8,7633,Naomi Yohani,0.438998046638994
8,9568,ayaka,0.438998046638994
9,2806,ZE:A,0.694072043217714
9,9200,남녀공학,0.667676718809356
9,404,백지영,0.594552213099533
9,398,www.DjFahad.com,0.555959458835469
9,402,3mmey,0.555959458835469
9,414,Wasted Land,0.555959458835469
9,2098,Kara,0.550705402616561
9,12596,승리,0.490709363836811
9,1912,See-Saw,0.469501218884548
9,388,B2ST,0.46094280574711
10,208,Babyshambles,0.930264880873916
10,1988,The Subways,0.764102630363326
10,1517,The Wombats,0.761299197787788
10,7074,British Sea Power,0.749385010246287
10,7745,Young Knives,0.541552133593788
10,419,Tokyo Police Club,0.509458201104982
10,229,The Killers,0.446955135542486
10,225,Interpol,0.436847747093089
10,424,The Strokes,0.37341096081934
10,428,The Libertines,0.365807467233676
11,300,Katy Perry,0.788159672398352
11,333,Avril Lavigne,0.725019373298313
11,55,Kylie Minogue,0.620345471709399
11,67,Madonna,0.608006640182424
11,289,Britney Spears,0.541109852468494
11,292,Christina Aguilera,0.539067539583524
11,89,Lady Gaga,0.531042862467724
11,461,Miley Cyrus,0.496286824280752
11,523,Lindsay Lohan,0.475915155957424
11,469,Nick Carter,0.35582739081975
12,505,Digital Summer,1.03586553042137
12,408,Crossfade,0.95569507166927
12,2835,Serj Tankian,0.936050085176067
12,496,Cold,0.904647856026518
12,497,Papa Roach,0.837058382069
12,966,Nickelback,0.81899498458051
12,6803,Pulse Ultra,0.801890881024701
12,510,P.O.D.,0.777313898434197
12,1145,Stone Sour,0.718009684769548
12,8350,Taproot,0.699948608981267
13,289,Britney Spears,2.61430407234495
13,292,Christina Aguilera,2.35245559661075
