userID,artistID,weight,sum_weight,weight_percentage
2,51,13883,168737,0.082275967926418
2,52,11690,168737,0.0692794111546371
2,53,11351,168737,0.0672703674949774
2,54,10300,168737,0.0610417395117846
2,55,8983,168737,0.0532366937897438
2,56,6152,168737,0.0364591049977183
2,57,5955,168737,0.0352916076497745
2,58,4616,168737,0.0273561815132425
2,59,4337,168737,0.0257027208021951
2,60,4147,168737,0.0245767081315894
2,61,3923,168737,0.02324919845677
2,62,3782,168737,0.022413578527531
2,63,3735,168737,0.022135038551118
2,64,3644,168737,0.0215957377457226
2,65,3579,168737,0.0212105228847259
2,66,3312,168737,0.019628178763401
2,67,3301,168737,0.0195629885561554
2,68,2927,168737,0.0173465215098052
2,69,2720,168737,0.0161197603370926
2,70,2686,168737,0.015918263332879
2,71,2654,168737,0.0157286190936191
2,72,2619,168737,0.0155211957069285
2,73,2584,168737,0.015313772320238
2,74,2547,168737,0.0150944961685937
2,75,2397,168737,0.0142055387970629
2,76,2382,168737,0.0141166430599098
2,77,2120,168737,0.0125639308509693
2,78,2119,168737,0.0125580044684924
2,79,1990,168737,0.0117935011289759
2,80,1972,168737,0.0116868262443922
2,81,1948,168737,0.0115445930649472
2,82,1868,168737,0.0110704824667974
2,83,1792,168737,0.0106200773985551
2,84,1740,168737,0.0103119055097578
2,85,1638,168737,0.00970741449711682
2,86,1594,168737,0.00944665366813443
2,87,1559,168737,0.0092392302814439
2,88,1553,168737,0.00920367198658267
2,89,1519,168737,0.00900217498236901
2,90,1471,168737,0.00871770862347914
2,91,1438,168737,0.00852213800174236
2,92,1411,168737,0.00836212567486681
2,93,1407,168737,0.00833842014495932
2,94,1373,168737,0.00813692314074566
2,95,1363,168737,0.00807765931597693
2,96,1342,168737,0.00795320528396262
2,97,1337,168737,0.00792357337157826
2,98,1332,168737,0.00789394145919389
2,99,1330,168737,0.00788208869424015
2,100,1315,168737,0.00779319295708706
3,101,13176,20501,0.642700356080191
3,102,662,20501,0.0322911077508414
3,103,493,20501,0.0240476074337837
3,104,431,20501,0.0210233647139164
3,105,403,20501,0.0196575776791376
3,106,354,20501,0.0172674503682747
3,107,269,20501,0.0131213111555534
3,108,236,20501,0.0115116335788498
3,109,215,20501,0.0104872933027657
3,110,215,20501,0.0104872933027657
3,111,212,20501,0.0103409589776109
3,112,193,20501,0.00941417491829667
3,113,187,20501,0.00912150626798693
3,114,167,20501,0.00814594410028779
3,115,163,20501,0.00795083166674797
3,116,154,20501,0.00751182869128335
3,117,151,20501,0.00736549436612848
3,118,142,20501,0.00692649139066387
3,119,142,20501,0.00692649139066387
3,120,125,20501,0.0060972635481196
3,121,111,20501,0.00541437003073021
3,122,108,20501,0.00526803570557534
3,123,104,20501,0.00507292327203551
3,124,99,20501,0.00482903273011073
3,125,98,20501,0.00478025462172577
3,126,94,20501,0.00458514218818594
3,127,89,20501,0.00434125164626116
3,128,89,20501,0.00434125164626116
3,129,86,20501,0.00419491732110629
3,130,85,20501,0.00414613921272133
3,131,84,20501,0.00409736110433637
3,132,83,20501,0.00404858299595142
3,133,83,20501,0.00404858299595142
3,134,77,20501,0.00375591434564168
3,135,77,20501,0.00375591434564168
3,136,76,20501,0.00370713623725672
3,137,75,20501,0.00365835812887176
3,138,72,20501,0.00351202380371689
3,139,72,20501,0.00351202380371689
3,140,71,20501,0.00346324569533194
